
DECIMAL       HEXADECIMAL     DESCRIPTION
474861358     0x1C4DCF2E      Zlib compressed data, best compression
474880694     0x1C4E1AB6      PNG image, 700 x 203, 8-bit grayscale, non-interlaced
474880795     0x1C4E1B1B      Zlib compressed data, best compression
474912703     0x1C4E97BF      PNG image, 400 x 492, 8-bit grayscale, non-interlaced
474912804     0x1C4E9824      Zlib compressed data, best compression
474936482     0x1C4EF4A2      JPEG image data, JFIF standard 1.02
474936512     0x1C4EF4C0      TIFF image data, little-endian offset of first image directory: 8
474936755     0x1C4EF5B3      Copyright string: "Copyright Flag"
474937410     0x1C4EF842      JPEG image data, JFIF standard 1.02
474973943     0x1C4F86F7      PNG image, 700 x 187, 8-bit grayscale, non-interlaced
474974044     0x1C4F875C      Zlib compressed data, best compression
475000240     0x1C4FEDB0      JPEG image data, JFIF standard 1.02
475000429     0x1C4FEE6D      Copyright string: "Copyright Flag"
475000956     0x1C4FF07C      JPEG image data, JFIF standard 1.02
475045792     0x1C509FA0      PNG image, 640 x 339, 8-bit grayscale, non-interlaced
475045873     0x1C509FF1      Zlib compressed data, best compression
475078890     0x1C5120EA      PNG image, 400 x 441, 8-bit grayscale, non-interlaced
475078991     0x1C51214F      Zlib compressed data, best compression
475102336     0x1C517C80      PNG image, 350 x 459, 8-bit grayscale, non-interlaced
475102437     0x1C517CE5      Zlib compressed data, best compression
475122064     0x1C51C990      PNG image, 400 x 386, 8-bit grayscale, non-interlaced
475122165     0x1C51C9F5      Zlib compressed data, best compression
475138932     0x1C520B74      PNG image, 350 x 453, 8-bit grayscale, non-interlaced
475139033     0x1C520BD9      Zlib compressed data, best compression
475158137     0x1C525679      PNG image, 400 x 410, 8-bit grayscale, non-interlaced
475158238     0x1C5256DE      Zlib compressed data, best compression
475184806     0x1C52BEA6      PNG image, 740 x 176, 8-bit grayscale, non-interlaced
475184907     0x1C52BF0B      Zlib compressed data, best compression
475218755     0x1C534343      PNG image, 476 x 405, 8-bit grayscale, non-interlaced
475218877     0x1C5343BD      Zlib compressed data, best compression
475250859     0x1C53C0AB      PNG image, 450 x 356, 8-bit grayscale, non-interlaced
475250960     0x1C53C110      Zlib compressed data, best compression
475269684     0x1C540A34      PNG image, 400 x 481, 8-bit grayscale, non-interlaced
475269785     0x1C540A99      Zlib compressed data, best compression
475292564     0x1C546394      PNG image, 740 x 301, 8-bit grayscale, non-interlaced
475292665     0x1C5463F9      Zlib compressed data, best compression
475332988     0x1C55017C      PNG image, 400 x 468, 8-bit grayscale, non-interlaced
475333089     0x1C5501E1      Zlib compressed data, best compression
475363610     0x1C55791A      PNG image, 740 x 271, 8-bit grayscale, non-interlaced
475363711     0x1C55797F      Zlib compressed data, best compression
475410216     0x1C562F28      PNG image, 500 x 391, 8-bit grayscale, non-interlaced
475410317     0x1C562F8D      Zlib compressed data, best compression
475437771     0x1C569ACB      PNG image, 400 x 152, 8-bit grayscale, non-interlaced
475437872     0x1C569B30      Zlib compressed data, best compression
475444888     0x1C56B698      PNG image, 300 x 414, 8-bit grayscale, non-interlaced
475444989     0x1C56B6FD      Zlib compressed data, best compression
475458165     0x1C56EA75      PNG image, 740 x 177, 8-bit grayscale, non-interlaced
475458266     0x1C56EADA      Zlib compressed data, best compression
475478690     0x1C573AA2      PNG image, 500 x 361, 8-bit grayscale, non-interlaced
475478791     0x1C573B07      Zlib compressed data, best compression
475501105     0x1C579231      PNG image, 640 x 297, 8-bit grayscale, non-interlaced
475501206     0x1C579296      Zlib compressed data, best compression
475540397     0x1C582BAD      PNG image, 450 x 392, 8-bit grayscale, non-interlaced
475540498     0x1C582C12      Zlib compressed data, best compression
475564495     0x1C5889CF      PNG image, 740 x 198, 8-bit grayscale, non-interlaced
475564596     0x1C588A34      Zlib compressed data, best compression
475603790     0x1C59234E      PNG image, 740 x 197, 8-bit grayscale, non-interlaced
475603891     0x1C5923B3      Zlib compressed data, best compression
475631425     0x1C598F41      PNG image, 350 x 350, 8-bit grayscale, non-interlaced
475631526     0x1C598FA6      Zlib compressed data, best compression
475646838     0x1C59CB76      PNG image, 740 x 232, 8-bit grayscale, non-interlaced
475646939     0x1C59CBDB      Zlib compressed data, best compression
475695138     0x1C5A8822      PNG image, 300 x 427, 8-bit/color RGB, non-interlaced
475695239     0x1C5A8887      Zlib compressed data, best compression
475732817     0x1C5B1B51      PNG image, 450 x 367, 8-bit grayscale, non-interlaced
475732918     0x1C5B1BB6      Zlib compressed data, best compression
475762038     0x1C5B8D76      JPEG image data, JFIF standard 1.02
475762227     0x1C5B8E33      Copyright string: "Copyright Flag"
475762884     0x1C5B90C4      JPEG image data, JFIF standard 1.02
475787100     0x1C5BEF5C      PNG image, 450 x 494, 8-bit grayscale, non-interlaced
475787201     0x1C5BEFC1      Zlib compressed data, best compression
475821266     0x1C5C74D2      PNG image, 740 x 203, 8-bit/color RGB, non-interlaced
475821367     0x1C5C7537      Zlib compressed data, compressed
475871637     0x1C5D3995      PNG image, 400 x 458, 8-bit grayscale, non-interlaced
475871738     0x1C5D39FA      Zlib compressed data, best compression
475897044     0x1C5D9CD4      PNG image, 740 x 271, 8-bit grayscale, non-interlaced
475897145     0x1C5D9D39      Zlib compressed data, best compression
475913360     0x1C5DDC90      PNG image, 740 x 183, 8-bit grayscale, non-interlaced
475913461     0x1C5DDCF5      Zlib compressed data, best compression
475949519     0x1C5E69CF      PNG image, 400 x 397, 8-bit grayscale, non-interlaced
475949620     0x1C5E6A34      Zlib compressed data, best compression
475966468     0x1C5EAC04      PNG image, 400 x 302, 8-bit/color RGB, non-interlaced
475966525     0x1C5EAC3D      Zlib compressed data, compressed
476010790     0x1C5F5926      PNG image, 740 x 234, 8-bit grayscale, non-interlaced
476010891     0x1C5F598B      Zlib compressed data, best compression
476044324     0x1C5FDC24      PNG image, 500 x 503, 8-bit grayscale, non-interlaced
476044425     0x1C5FDC89      Zlib compressed data, best compression
476080457     0x1C606949      PNG image, 740 x 201, 8-bit grayscale, non-interlaced
476080558     0x1C6069AE      Zlib compressed data, best compression
476099658     0x1C60B44A      PNG image, 700 x 264, 8-bit grayscale, non-interlaced
476099759     0x1C60B4AF      Zlib compressed data, best compression
476143060     0x1C615DD4      PNG image, 450 x 449, 8-bit grayscale, non-interlaced
476143161     0x1C615E39      Zlib compressed data, best compression
476182680     0x1C61F898      PNG image, 740 x 224, 8-bit/color RGB, non-interlaced
476182781     0x1C61F8FD      Zlib compressed data, best compression
476223899     0x1C62999B      PNG image, 400 x 144, 8-bit grayscale, non-interlaced
476224000     0x1C629A00      Zlib compressed data, best compression
476231569     0x1C62B791      JPEG image data, JFIF standard 1.02
476231758     0x1C62B84E      Copyright string: "Copyright Flag"
476232417     0x1C62BAE1      JPEG image data, JFIF standard 1.02
476268571     0x1C63481B      PNG image, 740 x 148, 8-bit grayscale, non-interlaced
476268672     0x1C634880      Zlib compressed data, best compression
476290379     0x1C639D4B      PNG image, 740 x 289, 8-bit grayscale, non-interlaced
476290480     0x1C639DB0      Zlib compressed data, best compression
476339934     0x1C645EDE      PNG image, 450 x 439, 8-bit grayscale, non-interlaced
476340035     0x1C645F43      Zlib compressed data, best compression
476356722     0x1C64A072      PNG image, 740 x 210, 8-bit grayscale, non-interlaced
476356823     0x1C64A0D7      Zlib compressed data, best compression
476400753     0x1C654C71      PNG image, 500 x 259, 8-bit grayscale, non-interlaced
476400854     0x1C654CD6      Zlib compressed data, best compression
476417460     0x1C658DB4      PNG image, 740 x 200, 8-bit grayscale, non-interlaced
476417561     0x1C658E19      Zlib compressed data, best compression
476465106     0x1C6647D2      PNG image, 350 x 349, 8-bit grayscale, non-interlaced
476465186     0x1C664822      Zlib compressed data, best compression
476466032     0x1C664B70      Zlib compressed data, best compression
476482351     0x1C668B2F      PNG image, 400 x 385, 8-bit grayscale, non-interlaced
476482431     0x1C668B7F      Zlib compressed data, best compression
476483277     0x1C668ECD      Zlib compressed data, best compression
476504520     0x1C66E1C8      PNG image, 393 x 740, 8-bit grayscale, non-interlaced
476537349     0x1C676205      PNG image, 400 x 454, 8-bit grayscale, non-interlaced
476537471     0x1C67627F      Zlib compressed data, best compression
476567556     0x1C67D804      PNG image, 500 x 455, 8-bit grayscale, non-interlaced
476567636     0x1C67D854      Zlib compressed data, best compression
476568482     0x1C67DBA2      Zlib compressed data, best compression
476606200     0x1C686EF8      PNG image, 640 x 495, 8-bit grayscale, non-interlaced
476654272     0x1C692AC0      PNG image, 500 x 503, 8-bit grayscale, non-interlaced
476654394     0x1C692B3A      Zlib compressed data, best compression
476684611     0x1C69A143      PNG image, 650 x 370, 8-bit/color RGB, non-interlaced
476684691     0x1C69A193      Zlib compressed data, best compression
476687362     0x1C69AC02      Zlib compressed data, best compression
476733123     0x1C6A5EC3      PNG image, 740 x 231, 8-bit grayscale, non-interlaced
476733245     0x1C6A5F3D      Zlib compressed data, best compression
476773123     0x1C6AFB03      PNG image, 500 x 397, 8-bit grayscale, non-interlaced
476773203     0x1C6AFB53      Zlib compressed data, best compression
476774049     0x1C6AFEA1      Zlib compressed data, best compression
476809570     0x1C6B8962      PNG image, 325 x 409, 8-bit grayscale, non-interlaced
476809650     0x1C6B89B2      Zlib compressed data, best compression
476810496     0x1C6B8D00      Zlib compressed data, best compression
476825719     0x1C6BC877      PNG image, 500 x 467, 8-bit grayscale, non-interlaced
476825799     0x1C6BC8C7      Zlib compressed data, best compression
476826645     0x1C6BCC15      Zlib compressed data, best compression
476858470     0x1C6C4866      PNG image, 400 x 432, 8-bit grayscale, non-interlaced
476858550     0x1C6C48B6      Zlib compressed data, best compression
476859396     0x1C6C4C04      Zlib compressed data, best compression
476881410     0x1C6CA202      PNG image, 740 x 148, 8-bit grayscale, non-interlaced
476881532     0x1C6CA27C      Zlib compressed data, best compression
476892532     0x1C6CCD74      PNG image, 740 x 211, 8-bit grayscale, non-interlaced
476892612     0x1C6CCDC4      Zlib compressed data, best compression
476893458     0x1C6CD112      Zlib compressed data, best compression
476940913     0x1C6D8A71      JPEG image data, JFIF standard 1.02
476940943     0x1C6D8A8F      TIFF image data, big-endian, offset of first image directory: 8
476941208     0x1C6D8B98      Copyright string: "Copyright Flag"
476941853     0x1C6D8E1D      JPEG image data, JFIF standard 1.02
476979127     0x1C6E1FB7      PNG image, 740 x 171, 8-bit grayscale, non-interlaced
476979249     0x1C6E2031      Zlib compressed data, best compression
477013945     0x1C6EA7B9      PNG image, 640 x 272, 8-bit grayscale, non-interlaced
477014067     0x1C6EA833      Zlib compressed data, best compression
477052091     0x1C6F3CBB      PNG image, 640 x 330, 8-bit grayscale, non-interlaced
477052171     0x1C6F3D0B      Zlib compressed data, best compression
477053017     0x1C6F4059      Zlib compressed data, best compression
477081184     0x1C6FAE60      PNG image, 640 x 210, 8-bit grayscale, non-interlaced
477081306     0x1C6FAEDA      Zlib compressed data, best compression
477115750     0x1C703566      PNG image, 350 x 369, 8-bit grayscale, non-interlaced
477115872     0x1C7035E0      Zlib compressed data, best compression
477134550     0x1C707ED6      PNG image, 350 x 486, 8-bit grayscale, non-interlaced
477134672     0x1C707F50      Zlib compressed data, best compression
477158111     0x1C70DADF      PNG image, 740 x 184, 8-bit grayscale, non-interlaced
477158233     0x1C70DB59      Zlib compressed data, best compression
477199107     0x1C717B03      PNG image, 640 x 194, 8-bit grayscale, non-interlaced
477199229     0x1C717B7D      Zlib compressed data, best compression
477229848     0x1C71F318      PNG image, 740 x 214, 8-bit grayscale, non-interlaced
477229970     0x1C71F392      Zlib compressed data, best compression
477251788     0x1C7248CC      PNG image, 300 x 405, 8-bit grayscale, non-interlaced
477251910     0x1C724946      Zlib compressed data, best compression
477267324     0x1C72857C      PNG image, 350 x 430, 8-bit grayscale, non-interlaced
477267446     0x1C7285F6      Zlib compressed data, best compression
477289050     0x1C72DA5A      PNG image, 740 x 228, 8-bit grayscale, non-interlaced
477289172     0x1C72DAD4      Zlib compressed data, best compression
477327756     0x1C73718C      PNG image, 500 x 271, 8-bit/color RGB, non-interlaced
477327878     0x1C737206      Zlib compressed data, compressed
477363587     0x1C73FD83      PNG image, 740 x 169, 8-bit grayscale, non-interlaced
477363709     0x1C73FDFD      Zlib compressed data, best compression
477400494     0x1C748DAE      PNG image, 740 x 194, 8-bit grayscale, non-interlaced
477400616     0x1C748E28      Zlib compressed data, best compression
477444717     0x1C753A6D      JPEG image data, JFIF standard 1.02
477444747     0x1C753A8B      TIFF image data, big-endian, offset of first image directory: 8
477444960     0x1C753B60      Copyright string: "Copyright Flag"
477445595     0x1C753DDB      JPEG image data, JFIF standard 1.02
477483787     0x1C75D30B      PNG image, 350 x 357, 8-bit/color RGB, non-interlaced
477483909     0x1C75D385      Zlib compressed data, best compression
477516506     0x1C7652DA      PNG image, 400 x 336, 8-bit grayscale, non-interlaced
477555765     0x1C76EC35      PNG image, 740 x 201, 8-bit grayscale, non-interlaced
477555887     0x1C76ECAF      Zlib compressed data, best compression
477582890     0x1C77562A      PNG image, 400 x 364, 8-bit grayscale, non-interlaced
477583012     0x1C7756A4      Zlib compressed data, best compression
477606800     0x1C77B390      PNG image, 350 x 434, 8-bit/color RGB, non-interlaced
477606922     0x1C77B40A      Zlib compressed data, compressed
477648964     0x1C785844      PNG image, 740 x 190, 8-bit grayscale, non-interlaced
477649086     0x1C7858BE      Zlib compressed data, best compression
477685000     0x1C78E508      PNG image, 400 x 336, 8-bit grayscale, non-interlaced
477685122     0x1C78E582      Zlib compressed data, best compression
477707458     0x1C793CC2      PNG image, 450 x 342, 8-bit grayscale, non-interlaced
477707580     0x1C793D3C      Zlib compressed data, best compression
477725889     0x1C7984C1      PNG image, 640 x 211, 8-bit grayscale, non-interlaced
477726011     0x1C79853B      Zlib compressed data, best compression
477763490     0x1C7A17A2      PNG image, 740 x 207, 8-bit grayscale, non-interlaced
477763612     0x1C7A181C      Zlib compressed data, best compression
477802173     0x1C7AAEBD      PNG image, 342 x 544, 8-bit grayscale, non-interlaced
477802295     0x1C7AAF37      Zlib compressed data, best compression
477832631     0x1C7B25B7      PNG image, 377 x 291, 8-bit grayscale, non-interlaced
477832753     0x1C7B2631      Zlib compressed data, best compression
477849375     0x1C7B671F      PNG image, 514 x 183, 8-bit grayscale, non-interlaced
477849497     0x1C7B6799      Zlib compressed data, best compression
477873487     0x1C7BC54F      PNG image, 413 x 360, 8-bit grayscale, non-interlaced
477873609     0x1C7BC5C9      Zlib compressed data, best compression
477902015     0x1C7C34BF      PNG image, 740 x 172, 8-bit grayscale, non-interlaced
477902137     0x1C7C3539      Zlib compressed data, best compression
477948168     0x1C7CE908      PNG image, 689 x 280, 8-bit grayscale, non-interlaced
477948290     0x1C7CE982      Zlib compressed data, best compression
477997509     0x1C7DA9C5      PNG image, 334 x 372, 8-bit grayscale, non-interlaced
477997631     0x1C7DAA3F      Zlib compressed data, best compression
478016322     0x1C7DF342      PNG image, 659 x 554, 8-bit grayscale, non-interlaced
478016444     0x1C7DF3BC      Zlib compressed data, best compression
478070271     0x1C7EC5FF      PNG image, 325 x 381, 8-bit grayscale, non-interlaced
478070393     0x1C7EC679      Zlib compressed data, best compression
478088260     0x1C7F0C44      JPEG image data, JFIF standard 1.02
478088449     0x1C7F0D01      Copyright string: "Copyright Flag"
478089082     0x1C7F0F7A      JPEG image data, JFIF standard 1.02
478132166     0x1C7FB7C6      PNG image, 651 x 544, 8-bit grayscale, non-interlaced
478177396     0x1C806874      PNG image, 740 x 175, 8-bit grayscale, non-interlaced
478177518     0x1C8068EE      Zlib compressed data, best compression
478225865     0x1C8125C9      PNG image, 410 x 381, 8-bit grayscale, non-interlaced
478225987     0x1C812643      Zlib compressed data, best compression
478249871     0x1C81838F      PNG image, 545 x 204, 8-bit grayscale, non-interlaced
478249993     0x1C818409      Zlib compressed data, best compression
478267053     0x1C81C6AD      PNG image, 283 x 390, 8-bit grayscale, non-interlaced
478267175     0x1C81C727      Zlib compressed data, best compression
478290094     0x1C8220AE      PNG image, 558 x 189, 8-bit grayscale, non-interlaced
478290216     0x1C822128      Zlib compressed data, best compression
478316841     0x1C828929      PNG image, 740 x 238, 8-bit grayscale, non-interlaced
478316963     0x1C8289A3      Zlib compressed data, best compression
478348306     0x1C830412      PNG image, 408 x 379, 8-bit grayscale, non-interlaced
478348428     0x1C83048C      Zlib compressed data, best compression
478376467     0x1C837213      PNG image, 340 x 423, 8-bit grayscale, non-interlaced
478376589     0x1C83728D      Zlib compressed data, best compression
478397631     0x1C83C4BF      PNG image, 666 x 205, 8-bit grayscale, non-interlaced
478397753     0x1C83C539      Zlib compressed data, best compression
478429753     0x1C844239      PNG image, 740 x 205, 8-bit grayscale, non-interlaced
478429875     0x1C8442B3      Zlib compressed data, best compression
478468278     0x1C84D8B6      PNG image, 320 x 394, 8-bit grayscale, non-interlaced
478468400     0x1C84D930      Zlib compressed data, best compression
478490160     0x1C852E30      PNG image, 740 x 215, 8-bit grayscale, non-interlaced
478490282     0x1C852EAA      Zlib compressed data, best compression
478520641     0x1C85A541      PNG image, 343 x 467, 8-bit grayscale, non-interlaced
478520763     0x1C85A5BB      Zlib compressed data, best compression
478543323     0x1C85FDDB      PNG image, 460 x 325, 8-bit grayscale, non-interlaced
478543445     0x1C85FE55      Zlib compressed data, best compression
478568460     0x1C86600C      PNG image, 740 x 217, 8-bit grayscale, non-interlaced
478568582     0x1C866086      Zlib compressed data, best compression
478592133     0x1C86BC85      PNG image, 520 x 602, 8-bit grayscale, non-interlaced
478592255     0x1C86BCFF      Zlib compressed data, best compression
478640090     0x1C8777DA      PNG image, 500 x 395, 8-bit grayscale, non-interlaced
478662888     0x1C87D0E8      PNG image, 554 x 511, 8-bit grayscale, non-interlaced
478663010     0x1C87D162      Zlib compressed data, best compression
478692671     0x1C88453F      PNG image, 337 x 276, 8-bit grayscale, non-interlaced
478692793     0x1C8845B9      Zlib compressed data, best compression
478707758     0x1C88802E      PNG image, 485 x 392, 8-bit grayscale, non-interlaced
478707880     0x1C8880A8      Zlib compressed data, best compression
478754969     0x1C893899      PNG image, 690 x 185, 8-bit grayscale, non-interlaced
478755091     0x1C893913      Zlib compressed data, best compression
478768490     0x1C896D6A      PNG image, 740 x 176, 8-bit grayscale, non-interlaced
478768612     0x1C896DE4      Zlib compressed data, best compression
478794172     0x1C89D1BC      PNG image, 674 x 184, 8-bit grayscale, non-interlaced
478794294     0x1C89D236      Zlib compressed data, best compression
478816648     0x1C8A2988      PNG image, 740 x 180, 8-bit grayscale, non-interlaced
478816770     0x1C8A2A02      Zlib compressed data, best compression
478853444     0x1C8AB944      PNG image, 740 x 166, 8-bit grayscale, non-interlaced
478853566     0x1C8AB9BE      Zlib compressed data, best compression
478873056     0x1C8B05E0      PNG image, 403 x 269, 8-bit/color RGB, non-interlaced
478873178     0x1C8B065A      Zlib compressed data, best compression
478917055     0x1C8BB1BF      PNG image, 594 x 161, 8-bit grayscale, non-interlaced
478917177     0x1C8BB239      Zlib compressed data, best compression
478935373     0x1C8BF94D      JPEG image data, JFIF standard 1.02
478935403     0x1C8BF96B      TIFF image data, big-endian, offset of first image directory: 8
478935616     0x1C8BFA40      Copyright string: "Copyright Flag"
478936251     0x1C8BFCBB      JPEG image data, JFIF standard 1.02
478982208     0x1C8CB040      PNG image, 528 x 377, 8-bit grayscale, non-interlaced
478982330     0x1C8CB0BA      Zlib compressed data, best compression
479023499     0x1C8D518B      PNG image, 498 x 469, 8-bit grayscale, non-interlaced
479023621     0x1C8D5205      Zlib compressed data, best compression
479069130     0x1C8E03CA      PNG image, 703 x 189, 8-bit grayscale, non-interlaced
479069252     0x1C8E0444      Zlib compressed data, best compression
479088154     0x1C8E4E1A      PNG image, 740 x 238, 8-bit grayscale, non-interlaced
479088239     0x1C8E4E6F      Zlib compressed data, best compression
479089080     0x1C8E51B8      Zlib compressed data, best compression
479124286     0x1C8EDB3E      PNG image, 640 x 160, 8-bit grayscale, non-interlaced
479124408     0x1C8EDBB8      Zlib compressed data, best compression
479146705     0x1C8F32D1      JPEG image data, JFIF standard 1.02
479146894     0x1C8F338E      Copyright string: "Copyright Flag"
479147525     0x1C8F3605      JPEG image data, JFIF standard 1.02
479173207     0x1C8F9A57      PNG image, 740 x 176, 8-bit grayscale, non-interlaced
479173329     0x1C8F9AD1      Zlib compressed data, best compression
479206231     0x1C901B57      PNG image, 336 x 197, 8-bit grayscale, non-interlaced
479206353     0x1C901BD1      Zlib compressed data, best compression
479218631     0x1C904BC7      PNG image, 449 x 236, 8-bit grayscale, non-interlaced
479218753     0x1C904C41      Zlib compressed data, best compression
479238276     0x1C909884      PNG image, 566 x 361, 8-bit grayscale, non-interlaced
479238361     0x1C9098D9      Zlib compressed data, best compression
479239202     0x1C909C22      Zlib compressed data, best compression
479266682     0x1C91077A      JPEG image data, JFIF standard 1.02
479266871     0x1C910837      Copyright string: "Copyright Flag"
479267502     0x1C910AAE      JPEG image data, JFIF standard 1.02
479313726     0x1C91BF3E      PNG image, 740 x 228, 8-bit grayscale, non-interlaced
479313848     0x1C91BFB8      Zlib compressed data, best compression
479351761     0x1C9253D1      PNG image, 740 x 206, 8-bit grayscale, non-interlaced
479351883     0x1C92544B      Zlib compressed data, best compression
479389786     0x1C92E85A      PNG image, 740 x 208, 8-bit grayscale, non-interlaced
479389871     0x1C92E8AF      Zlib compressed data, best compression
479390712     0x1C92EBF8      Zlib compressed data, best compression
479423976     0x1C936DE8      PNG image, 740 x 157, 8-bit grayscale, non-interlaced
479424098     0x1C936E62      Zlib compressed data, best compression
479464786     0x1C940D52      JPEG image data, JFIF standard 1.02
479464816     0x1C940D70      TIFF image data, little-endian offset of first image directory: 8
479466644     0x1C941494      TIFF image data, little-endian offset of first image directory: 942
479470095     0x1C94220F      Copyright string: "Copyright Flag"
479470724     0x1C942484      JPEG image data, JFIF standard 1.02
479506644     0x1C94B0D4      PNG image, 740 x 214, 8-bit grayscale, non-interlaced
479506729     0x1C94B129      Zlib compressed data, best compression
479507570     0x1C94B472      Zlib compressed data, best compression
479538531     0x1C952D63      PNG image, 340 x 280, 8-bit grayscale, non-interlaced
479552204     0x1C9562CC      PNG image, 460 x 460, 8-bit grayscale, non-interlaced
479552326     0x1C956346      Zlib compressed data, best compression
479580676     0x1C95D204      PNG image, 640 x 198, 8-bit grayscale, non-interlaced
479580798     0x1C95D27E      Zlib compressed data, best compression
479606254     0x1C9635EE      PNG image, 740 x 215, 8-bit grayscale, non-interlaced
479606376     0x1C963668      Zlib compressed data, best compression
479636589     0x1C96AC6D      PNG image, 329 x 333, 8-bit grayscale, non-interlaced
479636711     0x1C96ACE7      Zlib compressed data, best compression
479652983     0x1C96EC77      PNG image, 565 x 348, 8-bit grayscale, non-interlaced
479653068     0x1C96ECCC      Zlib compressed data, best compression
479653909     0x1C96F015      Zlib compressed data, best compression
479680357     0x1C975765      PNG image, 740 x 205, 8-bit grayscale, non-interlaced
479680479     0x1C9757DF      Zlib compressed data, best compression
479716530     0x1C97E4B2      PNG image, 740 x 242, 8-bit grayscale, non-interlaced
479716652     0x1C97E52C      Zlib compressed data, best compression
479756640     0x1C988160      JPEG image data, JFIF standard 1.02
479756670     0x1C98817E      TIFF image data, big-endian, offset of first image directory: 8
479756935     0x1C988287      Copyright string: "Copyright Flag"
479757568     0x1C988500      JPEG image data, JFIF standard 1.02
479800753     0x1C992DB1      PNG image, 311 x 328, 8-bit grayscale, non-interlaced
479800875     0x1C992E2B      Zlib compressed data, best compression
479815852     0x1C9968AC      PNG image, 710 x 192, 8-bit grayscale, non-interlaced
479815974     0x1C996926      Zlib compressed data, best compression
479848253     0x1C99E73D      PNG image, 200 x 346, 8-bit grayscale, non-interlaced
479848375     0x1C99E7B7      Zlib compressed data, best compression
479864684     0x1C9A276C      PNG image, 325 x 310, 8-bit grayscale, non-interlaced
479864806     0x1C9A27E6      Zlib compressed data, best compression
479874877     0x1C9A4F3D      PNG image, 687 x 191, 8-bit/color RGB, non-interlaced
479874962     0x1C9A4F92      Zlib compressed data, best compression
479877650     0x1C9A5A12      Zlib compressed data, best compression
479909580     0x1C9AD6CC      PNG image, 271 x 258, 8-bit grayscale, non-interlaced
479909660     0x1C9AD71C      Zlib compressed data, best compression
479910506     0x1C9ADA6A      Zlib compressed data, best compression
479921172     0x1C9B0414      PNG image, 740 x 254, 8-bit grayscale, non-interlaced
479921257     0x1C9B0469      Zlib compressed data, best compression
479922098     0x1C9B07B2      Zlib compressed data, best compression
479963942     0x1C9BAB26      PNG image, 740 x 211, 8-bit grayscale, non-interlaced
479964064     0x1C9BABA0      Zlib compressed data, best compression
479986553     0x1C9C0379      JPEG image data, JFIF standard 1.02
479986583     0x1C9C0397      TIFF image data, little-endian offset of first image directory: 8
479988411     0x1C9C0ABB      TIFF image data, little-endian offset of first image directory: 942
479991862     0x1C9C1836      Copyright string: "Copyright Flag"
479992507     0x1C9C1ABB      JPEG image data, JFIF standard 1.02
480033201     0x1C9CB9B1      JPEG image data, JFIF standard 1.02
480033231     0x1C9CB9CF      TIFF image data, big-endian, offset of first image directory: 8
480033496     0x1C9CBAD8      Copyright string: "Copyright Flag"
480034129     0x1C9CBD51      JPEG image data, JFIF standard 1.02
480077174     0x1C9D6576      PNG image, 246 x 499, 8-bit grayscale, non-interlaced
480077259     0x1C9D65CB      Zlib compressed data, best compression
480078100     0x1C9D6914      Zlib compressed data, best compression
480092317     0x1C9DA09D      PNG image, 740 x 191, 8-bit grayscale, non-interlaced
480092397     0x1C9DA0ED      Zlib compressed data, best compression
480093243     0x1C9DA43B      Zlib compressed data, best compression
480116999     0x1C9E0107      PNG image, 415 x 333, 8-bit grayscale, non-interlaced
480117084     0x1C9E015C      Zlib compressed data, best compression
480117925     0x1C9E04A5      Zlib compressed data, best compression
480138884     0x1C9E5684      PNG image, 608 x 716, 8-bit grayscale, non-interlaced
480138964     0x1C9E56D4      Zlib compressed data, best compression
480139810     0x1C9E5A22      Zlib compressed data, best compression
480176286     0x1C9EE89E      PNG image, 242 x 364, 8-bit grayscale, non-interlaced
480176371     0x1C9EE8F3      Zlib compressed data, best compression
480177212     0x1C9EEC3C      Zlib compressed data, best compression
480193057     0x1C9F2A21      PNG image, 740 x 203, 8-bit grayscale, non-interlaced
480193137     0x1C9F2A71      Zlib compressed data, best compression
480193983     0x1C9F2DBF      Zlib compressed data, best compression
480234362     0x1C9FCB7A      PNG image, 740 x 228, 8-bit/color RGB, non-interlaced
480234447     0x1C9FCBCF      Zlib compressed data, best compression
480237135     0x1C9FD64F      Zlib compressed data, best compression
480272147     0x1CA05F13      PNG image, 437 x 391, 8-bit/color RGB, non-interlaced
480272227     0x1CA05F63      Zlib compressed data, compressed
480274914     0x1CA069E2      Zlib compressed data, compressed
480319356     0x1CA1177C      PNG image, 407 x 571, 8-bit grayscale, non-interlaced
480319478     0x1CA117F6      Zlib compressed data, best compression
480359841     0x1CA1B5A1      PNG image, 410 x 211, 8-bit grayscale, non-interlaced
480359963     0x1CA1B61B      Zlib compressed data, best compression
480373871     0x1CA1EC6F      PNG image, 740 x 534, 8-bit grayscale, non-interlaced
480373956     0x1CA1ECC4      Zlib compressed data, best compression
480374797     0x1CA1F00D      Zlib compressed data, best compression
480416509     0x1CA292FD      PNG image, 300 x 330, 8-bit grayscale, non-interlaced
480416589     0x1CA2934D      Zlib compressed data, best compression
480417435     0x1CA2969B      Zlib compressed data, best compression
480430825     0x1CA2CAE9      PNG image, 535 x 333, 8-bit grayscale, non-interlaced
480430910     0x1CA2CB3E      Zlib compressed data, best compression
480431751     0x1CA2CE87      Zlib compressed data, best compression
480447328     0x1CA30B60      PNG image, 190 x 244, 8-bit grayscale, non-interlaced
480447450     0x1CA30BDA      Zlib compressed data, best compression
480456884     0x1CA330B4      JPEG image data, JFIF standard 1.02
480456914     0x1CA330D2      TIFF image data, little-endian offset of first image directory: 8
